,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,chaque,each
16,parlé,speak
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,façon,way
39,écoute,listen
40,dont,whose
41,premier,first
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,enfant,child
51,point,point
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,vers,towards
57,minutes,minutes
58,demandé,request
59,mis,placed
60,droit,law
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
64,cause,cause
65,enfin,finally
66,espère,hope
67,eau,water
68,attendez,Wait
69,parti,left
70,boulot,job
71,arrêter,Stop
72,dirait,would say
73,terre,Earth
74,compte,account
75,donne,given
76,loin,far
77,fin,end
78,croire,believe
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
